miRNA	Expression_vlue
hsa-miR-4632-3p	0.4147232
hsa-miR-4637	0.31985233
hsa-miR-4638-3p	1.3099536
hsa-miR-4638-5p	0.023593125
hsa-miR-4639-3p	0.14666777
hsa-miR-4639-5p	0.038217692
hsa-miR-4640-3p	0.34490094
hsa-miR-4640-5p	0.3624393
hsa-miR-4641	0.42433
hsa-miR-4646-3p	0.26205097
hsa-miR-4646-5p	0.34349764
hsa-miR-4647	0.36744565
hsa-miR-4651	0.132332816
hsa-miR-4652-5p	5.23968
hsa-miR-4653-5p	0.13155583
hsa-miR-4657	0.7588373
hsa-miR-4658	0.54149176
hsa-miR-4660	0.52186276
hsa-miR-4664-3p	0.9426558
hsa-miR-4664-5p	1.126286
hsa-miR-4665-5p	0.8920633
hsa-miR-4667-5p	0.0237550588
hsa-miR-4669	0.4602419
hsa-miR-466	0.9098977
hsa-miR-4672	0.0178415282
hsa-miR-4676-3p	0.059738923
hsa-miR-4680-3p	0.50343105
hsa-miR-4683	0.42664474
hsa-miR-4685-3p	0.8484899
hsa-miR-4685-5p	0.042072736
hsa-miR-4687-3p	0.1872103
hsa-miR-4687-5p	0.12594116
hsa-miR-4690-3p	0.4844688
hsa-miR-4690-5p	0.15977205
hsa-miR-4691-3p	0.47025482
hsa-miR-4695-5p	0.0014000119
hsa-miR-4699-3p	0.81768645
hsa-miR-4700-3p	0.7542327
hsa-miR-4700-5p	0.64676156
hsa-miR-4707-3p	0.7104541
hsa-miR-4707-5p	1.0571148
hsa-miR-4709-3p	1.3838228
hsa-miR-4709-5p	0.38507962
hsa-miR-4712-3p	0.14624096
hsa-miR-4713-5p	0.23266045
hsa-miR-4714-3p	0.4632714
hsa-miR-4714-5p	1.3036552
hsa-miR-4722-5p	0.4424668
hsa-miR-4723-3p	0.10859159
hsa-miR-4723-5p	0.3943985
hsa-miR-4726-5p	0.58976983
hsa-miR-4727-3p	0.38371233
hsa-miR-4728-3p	2.3225447
hsa-miR-4728-5p	0.65061555
hsa-miR-4729	0.0017000089
hsa-miR-4730	0.27266876
hsa-miR-4732-5p	1.1258077
hsa-miR-4734	0.20332895
hsa-miR-4738-3p	0.38295465
hsa-miR-4740-5p	0.42732417
hsa-miR-4741	0.48040595
hsa-miR-4742-5p	0.04080515
hsa-miR-4743-5p	0.14708995
hsa-miR-4745-3p	0.5478837
hsa-miR-4745-5p	0.27783343
hsa-miR-4746-5p	5.40324
hsa-miR-4748	0.30138835
hsa-miR-4749-5p	0.33154905
hsa-miR-4750-5p	0.18175496
hsa-miR-4751	0.18950739
hsa-miR-4753-3p	0.50262994
hsa-miR-4755-3p	0.32180028
hsa-miR-4755-5p	1.2617194
hsa-miR-4757-3p	0.100361226
hsa-miR-4757-5p	0.6875359
hsa-miR-4758-3p	0.547082
hsa-miR-4758-5p	0.42526264
hsa-miR-4761-5p	0.060972156
hsa-miR-4762-5p	0.3684201
hsa-miR-4763-3p	0.28993267
hsa-miR-4763-5p	0.51779516
hsa-miR-4764-5p	0.0160101626
hsa-miR-4766-5p	0.9063366
hsa-miR-4769-5p	0.0185433261
hsa-miR-4775	0.1326203
hsa-miR-4777-3p	0.5291061
hsa-miR-4778-5p	0.059761922
hsa-miR-4779	0.0018000089
hsa-miR-4783-3p	0.08045206
hsa-miR-4784	0.79039495
hsa-miR-4785	0.49795715
hsa-miR-4786-3p	0.367045
hsa-miR-4786-5p	0.6236741
hsa-miR-4792	0.8597098
hsa-miR-4793-3p	0.12643307
hsa-miR-4795-5p	0.0019000089
hsa-miR-4797-3p	0.5831222
hsa-miR-4799-5p	0.0330839565
hsa-miR-4800-3p	0.28131898
hsa-miR-4800-5p	0.65719554
hsa-miR-4802-3p	0.52118235
hsa-miR-4802-5p	0.6169136
hsa-miR-4803	0.13306597
hsa-miR-4804-3p	0.25823365
hsa-miR-483-3p	415.431
hsa-miR-483-5p	369.114
hsa-miR-484	107.423
hsa-miR-485-3p	27.7939
hsa-miR-485-5p	1.1786111
hsa-miR-486-3p	6.65964
hsa-miR-486-5p	1123.51
hsa-miR-487b-3p	15.9625
hsa-miR-487b-5p	0.72605095
hsa-miR-488-5p	2.66547
hsa-miR-491-3p	4.55079
hsa-miR-493-3p	14.5764
hsa-miR-494-5p	0.36696477
hsa-miR-495-5p	1.6209306
hsa-miR-497-3p	1.4300475
hsa-miR-497-5p	31.5524
hsa-miR-4999-3p	0.27894664
hsa-miR-499a-5p	4.85327
hsa-miR-5000-3p	6.59147
hsa-miR-5000-5p	0.15041182
hsa-miR-5001-3p	0.24339805
hsa-miR-5001-5p	0.2334111
hsa-miR-5002-3p	0.710234
hsa-miR-5003-3p	1.0019544
hsa-miR-5004-3p	0.16377681
hsa-miR-5006-3p	0.5686115
hsa-miR-5009-5p	0.21407046
hsa-miR-500a-3p	622.107
hsa-miR-500a-5p	11.2622
hsa-miR-5010-3p	0.91093706
hsa-miR-5010-5p	0.5689301
hsa-miR-501-3p	18.9848
hsa-miR-501-5p	2.9927878
hsa-miR-502-5p	2.2250098
hsa-miR-503-3p	2.2414849
hsa-miR-503-5p	12.5693
hsa-miR-504-3p	0.72659935
hsa-miR-504-5p	7.07004
hsa-miR-505-3p	52.6297
hsa-miR-505-5p	12.5171
hsa-miR-508-3p	303.337
hsa-miR-5088-3p	0.3948824
hsa-miR-5088-5p	0.26101255
hsa-miR-5089-3p	0.080009144
hsa-miR-5089-5p	0.2724089
hsa-miR-5090	0.49985148
hsa-miR-509-3p	34.9691
hsa-miR-5094	0.10962994
hsa-miR-509-5p	0.26263696
hsa-miR-5100	0.5462376
hsa-miR-510-3p	0.0243943613
hsa-miR-516a-5p	11.7576
hsa-miR-516b-5p	99.6728
hsa-miR-517-5p	26.9779
hsa-miR-517a-3p	135.766
hsa-miR-517c-3p	18.4544
hsa-miR-5187-3p	0.34333698
hsa-miR-5187-5p	1.5406306
hsa-miR-5189-3p	0.33226973
hsa-miR-5189-5p	0.059680975
hsa-miR-518a-5p	20.897
hsa-miR-518c-3p	95.6557
hsa-miR-518c-5p	116.588
hsa-miR-518d-3p	3.72293
hsa-miR-518f-5p	237.318
hsa-miR-5190	1.0237755
hsa-miR-5193	0.8181825
hsa-miR-5194	0.14696273
hsa-miR-519a-3p	5.09318
hsa-miR-519a-5p	195.802
hsa-miR-520a-3p	116.481
hsa-miR-520c-3p	0.4483262
hsa-miR-520d-3p	47.3165
hsa-miR-520d-5p	51.8306
hsa-miR-520f-5p	1.1769145
hsa-miR-522-3p	3.83859
hsa-miR-526b-5p	16.0405
hsa-miR-532-3p	84.4914
hsa-miR-532-5p	1259.8
hsa-miR-539-5p	71.6017
hsa-miR-542-3p	263.188
hsa-miR-542-5p	1.6498677
hsa-miR-543	5.69504
hsa-miR-545-3p	0.14942294
hsa-miR-545-5p	0.61594964
hsa-miR-548a-5p	0.30243728
hsa-miR-548ab	0.4959858
hsa-miR-548ah-5p	0.10222063
